SJudete,Regiuni,Salariati,Someri ,Accidente colective munca,Salariul net mediu lunar,Natalitate,Sectii sportive,Sportivi,Populatia activa(mii pers),Populatia ocupata(mii pers.),Personal didactic,Varsta medie a populatiei,Populatia rezidenta,Unitati de invatamant,Casatorii,Varsta medie a sotului,Varsta medie a sotiei,Pensionari,Absolventi bacalaureat
Alba,c,93439,5797,1,3325,2656,167,7084,157.7,151.9,3904,41.8,325703,145,1894,34,31,85680,1817
Arad,v,124822,2178,0,3236,3561,227,8832,194.4,192.2,4973,41.1,410267,162,2908,35.2,32.2,98256,2047
Arges,s,149405,8114,1,3487,4372,244,13258,233.5,225.4,6714,41.4,566903,218,3218,34,30.9,144491,3416
Bacau,ne,112981,5337,0,3335,5487,193,6939,189.8,184.5,6711,40.4,599415,184,3927,34.5,31.1,138280,3165
Bihor,nv,165283,2844,1,3099,5275,229,9030,237.9,235.1,8248,39.9,552022,209,3295,34.1,31,134395,2915
Bistrita-Nasaud,nv,65916,3722,0,2951,3011,100,4243,115.8,112.1,3565,39.4,295342,120,1824,32.8,29.5,60199,1553
Botosani,ne,56255,3384,0,2958,3519,108,5267,111.6,108.2,4578,40.2,391095,132,2590,32.5,29.2,76667,2182
Braila,se,69694,3532,0,2972,1982,114,4952,110.1,106.6,2989,43,280189,100,1516,35.7,32.3,76416,1388
Brasov,c,181482,5833,0,3740,5421,370,11210,259.6,253.8,7036,40.5,548237,192,3285,35.6,32.7,147092,2668
Buzau,se,85114,7657,0,2996,3250,166,9585,145.4,137.7,4319,42.7,403807,148,2642,35.7,32.5,106550,2046
Calarasi,s,45624,3642,0,3189,2408,95,3487,76.3,72.7,2549,41.1,281974,95,1622,34.9,31.8,58696,840
Caras-Severin,v,51106,2416,0,3045,1751,122,4911,93.2,90.8,3140,41.9,246314,119,1343,35.3,32.3,68438,1239
Cluj,nv,248860,4322,1,4679,6503,411,17238,361.3,357,12271,40.5,683018,286,4366,34.8,31.9,175070,3653
Constanta,se,184412,6302,1,3378,5712,405,13314,279.9,273.6,8140,39.9,656004,226,4195,35.4,32.3,149098,3494
Covasna,c,50601,3212,0,2993,1883,95,3522,80.3,77.1,2840,39.6,199903,80,1102,34.7,31.5,45163,847
Dambovita,s,84992,5004,1,3122,3971,191,8879,170.4,165.4,4922,40.4,478594,153,2732,33.9,30.7,108267,2187
Dolj,sv,136486,16799,1,3433,5096,220,8558,230.8,214,7936,41.8,599558,216,3640,33.4,30.5,145488,2975
Galati,se,112709,10158,0,3256,4290,173,7477,168.3,158.1,6176,40.8,495000,184,3458,34.8,31.7,126480,2827
Giurgiu,s,35184,2204,0,3264,2051,107,5530,66.6,64.4,2399,41.9,260200,85,1595,33.1,30.2,51892,743
Gorj,sv,74841,4308,0,3359,2370,111,3885,122.3,118,3781,40.5,313023,116,1922,33.6,30.3,79088,1883
Harghita,nv,69247,5409,0,2924,2841,186,6850,123.2,117.8,4459,39.8,291625,130,1502,33.5,30.2,71839,1422
Hunedoara,v,99990,6170,2,2984,2765,206,8795,155.8,149.6,3847,42.4,360679,111,2372,36.1,33.2,121099,1828
Ialomita,s,46145,3970,0,3114,2281,110,3746,79.5,75.5,2235,40.9,250420,90,1370,34.1,31,52858,1049
