,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Alba,-1.1075437056742676,-0.04719248007813794,0.7399196442007905,0.5383887947379371,0.7932077205056685,0.2779354887498387,0.3558065427758767,0.08572706219011017,-0.01202864608810065,-0.10504995276503623,0.0029757885644913816,0.04859693029240951,0.06158788963846895,-0.01224833724014897,0.08036284659133713,0.005214578704685084,-0.03202789207796795,7.0733562805207115e-06
Arad,-0.28119023355003153,1.455590793567827,-0.9536856439816842,-0.027181471530944322,0.08231049833325979,-0.3997060406750815,-0.2342714515037871,0.09873418889107907,-0.07941445468908223,0.04841238210577034,-0.09767810461338491,0.13918461231022106,0.172641169749681,0.03520441740298628,-0.00201467193076588,-0.04087716674844788,-0.05481557250313776,5.4336094138736394e-05
Arges,1.2558824930197898,-0.5321939616212964,1.0773425529492389,0.30271671360819213,0.4154094220596331,0.16027746252333347,0.15306451039596214,-0.07854725374331838,0.3152990460860812,-0.05716666836127204,0.3476439934589823,0.21983074522651117,0.009235876576320126,-0.01058871365199726,0.09779964028524805,0.059953988914390584,0.040277075514619086,-0.00014048925750247623
Bacau,0.6827021262852788,-0.2147478531976338,-0.3646533325541486,-0.4111190324293486,-0.4950948763485507,-0.282075633971513,-0.908987143272832,-0.08220887225469599,-0.0826499213537645,-0.08196056047132029,0.14372176067072348,-0.0675652642520604,-0.08773266947893518,-0.056861577545242896,-0.059640879784216096,-0.043241181723573975,-0.014867780142166736,-0.00015665598588751001
Bihor,0.8400083786455214,-0.7230684561623694,-0.5440886734140526,0.8690872899477529,0.382904371826739,-1.1173694653396127,-0.18334635281424894,-0.1441715266723335,-0.015109121469743816,0.11252486485002744,-0.2447257563568746,0.12180768101637582,-0.19520706796756024,0.2304855800903163,-0.02763745655266327,-0.02719348191414206,0.04892367052232152,-8.955035150000045e-05
Bistrita-Nasaud,-2.180661427356441,-1.9653107700598549,-1.0176044839040503,-0.747156115909253,0.14372804760011476,-0.347622224117253,0.3058281997974444,-0.006858513416520699,-0.11319148552795379,-0.028132706814590645,-0.017982916416367706,0.02585176397888791,-0.04174182616356023,0.021143243306908643,0.010226898841376338,-0.008909355295003314,-0.019016520663620466,-3.460995155903263e-05
Botosani,-1.7161054102833884,-2.1559887028933757,-0.6930607589108937,-1.031709459968156,0.6493629717140881,-0.48227933557855296,-0.2776613818704533,0.08837714720724867,0.028827254787248995,0.10068103609348894,0.1228394641958925,0.00758292282324184,0.08385671434758711,0.023732642782422497,-0.09199758346052596,0.045095024960992644,0.010404249301316384,1.9786462105283424e-05
Braila,-2.0649466884389995,2.445159783682619,0.2984860706198827,-0.3154834106107234,0.333606230546486,-0.26640672811670235,-0.2392749692632884,-0.014318099602387504,-0.22518983034337048,0.07332668165437756,0.015194343267487897,-0.08432237534978614,-0.03879127564241565,-0.07641205311425886,-0.0859928153306273,-0.01779023421549348,0.019414440793034598,-0.00015922046553612455
Brasov,1.7207194540588695,1.5126064234507595,-0.6690021344132732,0.11704868469626462,-0.7855212071984486,0.41738538098842426,-0.08038176269860205,-0.08097776698710596,0.17099077601502963,-0.1695915564485094,-0.22641393280118777,-0.2928964779320276,0.01998891769825063,-0.05173813015436609,0.09823223369531191,-0.010399090452172417,-0.010135632177463846,-7.021624017910795e-05
Buzau,-0.596484436273528,2.1255712942938754,1.0889385172832737,-0.549212729553099,-0.5436721406539619,-0.12626966759674943,-0.1469317327897467,0.1009629280874571,0.06894024247232229,0.24691391575224417,0.18271015214986225,0.08520627435309824,0.08748910150681659,-0.012466515566032878,0.038462382038926664,-0.051409574228547764,0.0048722398600749475,8.053086997861264e-05
