,Salariati,Someri ,Accidente colective munca,Salariul net mediu lunar,Natalitate,Sectii sportive,Sportivi,Populatia activa(mii pers),Populatia ocupata(mii pers.),Personal didactic,Varsta medie a populatiei,Populatia rezidenta,Unitati de invatamant,Casatorii,Varsta medie a sotului,Varsta medie a sotiei,Pensionari,Absolventi bacalaureat
Alba,-0.21055276334083647,0.034255988259553824,0.9062492919930173,-4.838778955933978e-05,-0.5365466769559916,-0.25092815407259705,-0.1935641687831929,-0.18718899323412955,-0.18902861264705478,-0.42569724430364886,0.7038690404029972,-0.5108678888239602,-0.2538104640760195,-0.5001362305687793,-0.3325574363143836,-0.18959001908464307,-0.35109099348533573,-0.28935733496483684
Arad,0.005412039427037112,-1.1464337404197347,-0.6162495185552518,-0.1809219451615489,-0.19424826824338262,0.08240813916037326,0.03636766435684485,0.014893311129988365,0.0343532415499744,-0.17658087926649932,0.18129960131592684,-0.17253722095172225,-0.06926802889243708,0.04950770490456856,0.8233663423232019,0.8962437265819371,-0.1672861595488728,-0.16794338935801192
Arges,0.17458205970689042,0.790171462520375,0.9062492919930173,0.3291821323706914,0.11249649359741944,0.17685342224304818,0.6185634844242403,0.230190807060152,0.21837997999516984,0.22913623161252533,0.405257932353242,0.4541450846728445,0.5386364634770109,0.2175448054930674,-0.3325574363143836,-0.28007616455685913,0.50846260771038,0.554733530362611
Bacau,-0.0760728163730582,-0.11581786506801532,-0.6162495185552518,0.02027448382527095,0.5342232623427885,-0.10648242700497658,-0.2126374615779901,-0.010435806038266155,-0.008327658631591923,0.22843712114001696,-0.3412698377711489,0.5842217919461783,0.16955159310984605,0.60186191619386,0.1490774714512759,-0.09910387361242698,0.4176855861153282,0.42223396363516297
Bihor,0.28384787681641777,-0.9291529006019933,0.9062492919930173,-0.45934528628472393,0.45403844173828783,0.09351934893480561,0.06241257451801618,0.25441865826456944,0.2721468282758443,0.5866147198884724,-0.7145337228333444,0.3946079451263853,0.4409375272033496,0.2592830530585978,-0.23623045476125037,-0.18959001908464307,0.3609042741048989,0.29026228362774464
Bistrita-Nasaud,-0.39995464546109855,-0.6427075892506765,-0.6162495185552518,-0.7601237861842122,-0.40227492547204,-0.6231536815160805,-0.5672691676109087,-0.4179042126580133,-0.4096389798193071,-0.5046967276970947,-1.0877976078955398,-0.6323386968187217,-0.525196398169523,-0.5380800919919887,-1.4884812149519693,-1.5468822011678651,-0.7235091688618475,-0.42871942905267063
Botosani,-0.46643764452238734,-0.7529792466957165,-0.6162495185552518,-0.745897776053831,-0.21013394024993465,-0.5787088424183512,-0.43257225849454795,-0.44103079789859356,-0.43125657861256794,-0.2686304248134348,-0.4905753917960239,-0.24924214934260425,-0.39493114980464133,-0.12286583698943994,-1.7774621596113622,-1.8183406375845101,-0.4828207142446662,-0.096678682154006
Braila,-0.37395601483760726,-0.7046946156251073,-0.6162495185552518,-0.7174457557930686,-0.7914738896325645,-0.5453752130950541,-0.47400734284186596,-0.44929029262737225,-0.4401253370918545,-0.638925938418702,1.5997023645522686,-0.6929640765342984,-0.7423051454443259,-0.7050330822541101,1.3050012500888615,0.9867298720541468,-0.4864892108507454,-0.5158207378575668
Brasov,0.3953226829228061,0.04600089851997228,-0.6162495185552518,0.8433507842258977,0.5092600634753496,0.8768596380322858,0.3491696661915186,0.3739060153409008,0.37580044300250565,0.3041740889950905,-0.2666170607587088,0.37946460306715896,0.2563950920197672,0.2538625014267107,1.2086742685357283,1.348674453943011,0.5464775864849298,0.15987426378041528
Buzau,-0.2678419639603613,0.6410763517145073,-0.6162495185552518,-0.6686708639174759,-0.31187788714904163,-0.25648375895981324,0.13541724693948126,-0.25491685001011444,-0.26773884415072274,-0.3289869622733242,1.3757440335149533,-0.19838292496826188,-0.22124415198479908,-0.09467896850362723,1.3050012500888615,1.1677021629985789,-0.04606500078066166,-0.1684712760780416
Calarasi,-0.539595781673879,-0.6688073898293843,-0.6162495185552518,-0.2764394417512513,-0.6303477878518225,-0.6509317059521614,-0.666713370044472,-0.6354042405158513,-0.6280321573717377,-0.7414621410532631,0.18129960131592684,-0.685822500424465,-0.7965823322630265,-0.6475752349561074,0.5343853976638021,0.5342991446930759,-0.7454763019253416,-0.8051026604338277
Caras-Severin,-0.5018709290857427,-1.0687868336980795,-0.6162495185552518,-0.5690887930048075,-0.8788450856686005,-0.5009303739973248,-0.47940048080453274,-0.5423472665716117,-0.5277043270748089,-0.603737377969114,0.7785218174154375,-0.8284939873021435,-0.5360518355332632,-0.7988086254857563,0.9196933238763284,0.9867298720541468,-0.6030918639316217,-0.5944758591419881
Cluj,0.858990161522487,-0.44695908491036895,0.9062492919930173,2.751668428858462,0.9185052327869992,1.1046394384081488,1.1420924866538458,0.9338997579520937,0.9478353649164862,1.524121863522198,-0.2666170607587088,0.9187076112797329,1.2768062042113406,0.8398241328337018,0.43805841611066887,0.6247852901652888,0.9553907261059826,0.6798426830096437
Constanta,0.4154857289066148,0.19901097941264603,0.9062492919930173,0.1076628317690412,0.6193250766636029,1.071305809084852,0.6259297216415413,0.48568451067037166,0.4855513291836764,0.561446742878171,-0.7145337228333444,0.8106277586012806,0.625479962386932,0.7471326999284331,1.0160203054294616,0.9867298720541468,0.5757963282849096,0.5959086945249256
Covasna,-0.5053461298440443,-0.809093817939938,-0.6162495185552518,-0.674767725401925,-0.8289186879337228,-0.6509317059521614,-0.6621094717836589,-0.6133789212391082,-0.6036430715536998,-0.673648425219951,-0.9384920538706595,-1.0141789670407846,-0.9594138927191287,-0.9294439198142345,0.34173143455754246,0.2628407082764309,-0.9432681926427521,-0.8014074533936201
Dambovita,-0.26868151741088164,-0.22445828497688602,0.9062492919930173,-0.41260268157061425,-0.0391738510365653,-0.11759363677940891,0.04255004202136532,-0.11725860453047016,-0.11419846297807475,-0.1884657572991416,-0.3412698377711489,0.10083111006036803,-0.16696696516609835,-0.04589400381664369,-0.4288844178675169,-0.4610484555012881,-0.020970145511187522,-0.09403924855385765
Dolj,0.0856788545653119,3.6236310628463273,0.9062492919930173,0.2194386256506078,0.38633522056750663,0.04351890494986006,0.0003257179721936264,0.21532371654835047,0.15519007583025332,0.5139072307476018,0.7038690404029972,0.5847939182115599,0.5169255887495305,0.4462920843587013,-0.9105193256331765,-0.642020746445717,0.5230342854644078,0.32193548682952505
Galati,-0.077944607672579,1.4570213673063561,-0.6162495185552518,-0.14027620193188833,0.08148161015605598,-0.21759452474930002,-0.1418689683117771,-0.12882189715076026,-0.15466217353981956,0.10376242020935747,-0.04265872972139361,0.16646959614323942,0.16955159310984605,0.34763804465835685,0.43805841611066887,0.44381299922085987,0.2452223990566241,0.24380825226513336
